品名,最低价,平均价,最高价,规格,单位,发布日期
红提葡萄,4.50,7.75,11.00,普通,斤,2018-04-02
龙眼葡萄,3.50,3.63,3.75,普通,斤,2018-04-02
克瑞森,8.00,10.00,12.00,普通,斤,2018-04-02
茉莉香,12.00,15.00,18.00,普通,斤,2018-04-02
红宝石葡萄,7.00,9.50,12.00,普通,斤,2018-04-02
生台农小芒果,4.50,4.65,4.80,普通,斤,2018-04-02
生台农大芒果,6.00,6.75,7.50,普通,斤,2018-04-02
熟台农芒果,6.00,7.00,8.00,普通,斤,2018-04-02
高乐密芒果,7.00,8.00,9.00,普通,斤,2018-04-02
水仙芒果,10.00,10.50,11.00,普通,斤,2018-04-02
熟澳芒果,10.00,11.25,12.50,普通,斤,2018-04-02
香芒,3.50,3.75,4.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
美早,25.00,0.00,50.00,普通,斤,2018-04-02
椰青/个,6.50,6.75,7.00,普通,斤,2018-04-02
箱装菠萝（上六下六）,1.80,2.10,2.40,普通,斤,2018-04-02
国产凤梨,3.50,4.00,4.50,普通,斤,2018-04-02
圣女果（千禧）,4.00,4.80,5.60,普通,斤,2018-04-02
枇杷果（福建）,15.00,18.00,21.00,普通,斤,2018-04-02
黑枣,5.50,6.00,6.50,普通,斤,2018-04-02
红颜草莓,5.00,6.25,7.50,普通,斤,2018-04-02
杏香草莓,5.50,7.25,9.00,普通,斤,2018-04-02
甜宝(奶油)草莓,6.00,9.50,13.00,普通,斤,2018-04-02
山东6号草莓,5.00,5.75,6.50,普通,斤,2018-04-02
甜查理草莓,4.00,5.00,6.00,普通,斤,2018-04-02
青皮枣,4.00,4.75,5.50,普通,斤,2018-04-02
油栗,5.50,8.75,12.00,普通,斤,2018-04-02
木瓜,3.50,3.75,4.00,普通,斤,2018-04-02
柿饼,4.00,5.50,7.00,普通,斤,2018-04-02
甘蔗,1.00,1.20,1.40,普通,斤,2018-04-02
柠檬,4.00,4.50,5.00,普通,斤,2018-04-02
石榴（云南）,2.00,2.75,3.50,普通,斤,2018-04-02
桑葚,4.00,8.00,12.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
山楂,2.50,3.75,5.00,普通,斤,2018-04-02
姑娘果（灯笼果）,8.00,12.00,16.00,普通,斤,2018-04-02
白条猪（瘦）,7.40,7.40,7.40,普通,斤,2018-04-02
白条猪（肥）,5.75,5.75,5.75,普通,斤,2018-04-02
前臀尖（瘦）,7.50,8.00,8.50,普通,斤,2018-04-02
前臀尖（肥）,5.50,6.50,7.50,普通,斤,2018-04-02
后臀尖（瘦）,7.50,8.00,8.50,普通,斤,2018-04-02
后臀尖（肥）,6.50,7.00,7.50,普通,斤,2018-04-02
五花肉（瘦）,10.00,10.50,11.00,普通,斤,2018-04-02
五花肉（肥）,7.50,8.75,10.00,普通,斤,2018-04-02
纯通脊,9.00,9.50,10.00,普通,斤,2018-04-02
通脊,6.00,7.25,8.50,普通,斤,2018-04-02
前肘,6.30,7.15,8.00,普通,斤,2018-04-02
后肘,5.00,5.15,5.30,普通,斤,2018-04-02
猪尾巴,25.00,26.50,28.00,普通,斤,2018-04-02
猪蹄,13.00,13.00,13.00,普通,斤,2018-04-02
纯排骨,13.00,13.50,14.00,普通,斤,2018-04-02
纯腔骨,5.00,7.00,9.00,普通,斤,2018-04-02
腔排骨,8.00,8.50,9.00,普通,斤,2018-04-02
棒骨,6.00,6.50,7.00,普通,斤,2018-04-02
